affiliation_id,person_id,department_id,rank,appointment_type,is_primary,start_date,end_date,source
1,1,1,assistant,regular,1,,,workbook-2026
2,2,1,associate,regular,1,,,workbook-2026
3,3,1,full,regular,1,,,workbook-2026
4,4,1,assistant,regular,1,,2026-09-15,"workbook-2026 | closed 2026-09-15: depart; change from Scholar profile 2026-09-15: email @urbanedge.net; affiliation ""professor of urban design, cairo university"""
5,5,1,assistant,regular,1,,,workbook-2026
6,6,1,assistant,regular,1,,,workbook-2026
7,7,2,assistant,regular,1,,,workbook-2026
8,8,2,associate,regular,1,,,workbook-2026
9,9,2,assistant,regular,1,,2026-09-14,"workbook-2026 | closed 2026-09-14: depart; change from Scholar profile 2026-09-14: email @uncg.edu; affiliation ""University of North Carolina at Greensboro"""
10,10,3,associate,regular,1,,2026-09-14,"workbook-2026 | closed 2026-09-14: depart; change from Scholar profile 2026-09-14: email @uci.edu; affiliation ""Associate Professor, University of California, Irvine"""
11,11,3,full,regular,1,,2026-09-14,"workbook-2026 | closed 2026-09-14: move; change from Scholar profile 2026-09-14: email @buffalo.edu; affiliation ""SUNY-Buffalo"""
12,12,3,associate,regular,1,,,workbook-2026
13,13,3,associate,regular,1,,,workbook-2026
14,14,3,assistant,regular,1,,,workbook-2026
15,15,3,associate,regular,1,,,workbook-2026
16,16,3,full,regular,1,,,workbook-2026
17,17,3,associate,regular,1,,2026-09-14,"workbook-2026 | closed 2026-09-15: departed; Scholar profile 2026-09-15 reads ""University of Colorado Boulder"" (email @colorado.edu), which is not a tracked program. An earlier run mis-read this as a move to University of Colorado, Denver; corrected 2026-09-15."
18,18,3,assistant,regular,1,,,workbook-2026
19,19,3,associate,regular,1,,,workbook-2026
20,20,3,assistant,regular,1,,,workbook-2026
21,21,3,full,regular,1,,,workbook-2026
22,22,3,full,regular,1,,,workbook-2026
23,23,3,associate,regular,1,,,workbook-2026
24,24,3,full,regular,1,,,workbook-2026
25,25,3,full,regular,1,,,workbook-2026
26,26,4,associate,regular,1,,,workbook-2026
27,27,4,associate,regular,1,,,workbook-2026
28,28,4,associate,regular,1,,,workbook-2026
29,29,4,associate,regular,1,,,workbook-2026
30,30,4,full,regular,1,,,workbook-2026
31,31,5,full,regular,1,,,workbook-2026
32,32,5,associate,regular,1,,,workbook-2026
33,33,5,associate,regular,1,,,workbook-2026
34,34,5,assistant,regular,1,,,workbook-2026
35,35,5,associate,regular,1,,,workbook-2026
36,36,6,associate,regular,1,,,workbook-2026
