department_id,short_name,name,university,country,url,openalex_institution_id,ror_id,acsp_member,active
1,Alabama A&M University,Alabama A&M University,Alabama A&M University,US,http://www.aamu.edu/academics/alns/crp/pages/default.aspx,,,,1
2,Appalachian State University,Appalachian State University,Appalachian State University,US,https://geo.appstate.edu/,,,,1
3,Arizona State University,Arizona State University,Arizona State University,US,http://geoplan.asu.edu/,,,,1
4,Auburn University,Auburn University,Auburn University,US,http://cla.auburn.edu/polisci/graduate-programs/master-of-community-planning/about-the-program/,,,,1
5,Ball State University,Ball State University,Ball State University,US,https://www.bsu.edu/academics/collegesanddepartments/urban-planning,,,,1
6,"Cal Poly, Pomona","Cal Poly, Pomona","Cal Poly, Pomona",US,http://env.cpp.edu/urp/urp,,,,1
7,"Cal Poly, San Luis Obispo","Cal Poly, San Luis Obispo","Cal Poly, San Luis Obispo",US,http://planning.calpoly.edu/,,,,1
8,"California State University, Northridge","California State University, Northridge","California State University, Northridge",US,http://csun.edu/social-behavioral-sciences/urban-studies-planning,,,,1
9,Clemson University,Clemson University,Clemson University,US,http://clemson.edu/caah/departments/city-and-regional-planning/,,,,1
10,Cleveland State University,Cleveland State University,Cleveland State University,US,http://csuohio.edu/urban/mupd/mupd,,,,1
11,Columbia University,Columbia University,Columbia University,US,http://arch.columbia.edu/programs/10-m-s-urban-planning,,,,1
12,Cornell University,Cornell University,Cornell University,US,http://aap.cornell.edu/academics/crp,,,,1
13,Dalhousie University,Dalhousie University,Dalhousie University,CA,http://dal.ca/faculty/architecture-planning/school-of-planning.html,,,,1
14,East Carolina University,East Carolina University,East Carolina University,US,https://planning.ecu.edu/,,,,1
15,Eastern Michigan University,Eastern Michigan University,Eastern Michigan University,US,https://www.emich.edu/geography-geology/programs/urban-regional-planning/index.php,,,,1
16,Eastern Washington,Eastern Washington,Eastern Washington,US,https://www.ewu.edu/css/geography-anthropology/urban-regional-planning/,,,,1
17,Florida Atlantic University,Florida Atlantic University,Florida Atlantic University,US,https://planning.fau.edu,,,,1
18,Florida State University,Florida State University,Florida State University,US,http://coss.fsu.edu/durp/,,,,1
19,Georgetown University,Georgetown University,Georgetown University,US,https://scs.georgetown.edu/programs/356/master-of-professional-studies-urban-and-regional-planning/,,,,1
20,Georgia Tech,Georgia Tech,Georgia Tech,US,http://planning.gatech.edu/,,,,1
21,Harvard University,Harvard University,Harvard University,US,http://gsd.harvard.edu/#/academic-programs/urban-planning-design/urban-planning/index.html,,,,1
22,Hunter College,Hunter College,Hunter College,US,http://www.hunterurban.org/,,,,1
23,Indiana University of Pennsylvania,Indiana University of Pennsylvania,Indiana University of Pennsylvania,US,http://iup.edu/georegionalplan/,,,,1
24,Iowa State University,Iowa State University,Iowa State University,US,https://www.design.iastate.edu/community-and-regional-planning/,,,,1
25,Jackson State University,Jackson State University,Jackson State University,US,http://www.jsums.edu/planning/,,,,1
26,Kansas State University,Kansas State University,Kansas State University,US,http://apdesign.k-state.edu/larcp/,,,,1
27,MIT,MIT,MIT,US,http://dusp.mit.edu/,,,,1
28,McGill University,McGill University,McGill University,CA,http://mcgill.ca/urbanplanning/school-urban-planning,,,,1
29,Miami University,Miami University,Miami University,US,https://miamioh.edu/cas/academics/departments/geography/academics/majors/urban-regional-planning-major/,,,,1
30,Michigan State University,Michigan State University,Michigan State University,US,http://spdc.msu.edu/programs/urban_and_regional_planning,,,,1
