person_id,first_name,middle_name,last_name,display_name,phd_year,phd_institution,interests,google_scholar_id,openalex_author_id,orcid,semantic_scholar_id,researchgate_url,linkedin_url,personal_url,notes
1,Florina,,Dutt,Florina Dutt,2023,Georgia Tech,,TdEfQoUAAAAJ,,,,,,,
2,Himanshu,,Grover,Himanshu Grover,2010,Texas A&M,"Environmental Planning, Comprehensive Plans, Sustainable Development and Climate Change",3n-sP0EAAAAJ,A5028790633,0000-0003-3593-2548,,,https://linkedin.com/in/himanshu-grover-ba508730,,
3,Jacob,,Oluwoye,Jacob Oluwoye,1988,University of New South Wales,Transportation,J16Ac4kAAAAJ,A5071727951,,,https://researchgate.net/profile/Jacob_Oluwoye,https://linkedin.com/in/jacob-oluwoye-b3965440,,
4,Ahmed,,Ouf,Ahmed Ouf,1989,University of Pennsylvania,,OL3It70AAAAJ,A5044558767,0000-0002-8487-6063,,,,,
5,Joyce,,Pressley,Joyce Pressley,1994,University of Pennsylvania,,,,,,,,,
6,Jordan,,Yin,Jordan Yin,2017,Cornell University,,2dsmPtcAAAAJ,,,,,,,
7,Chris,,Quattro,Chris Quattro,2023,University of Pennsylvania,,,,,,,,,
8,Elizabeth,,Shay,Elizabeth Shay,2007,UNC,,,,,,,,,
9,Bhuwan,,Thapa,Bhuwan Thapa,2018,University of Arizona,,Z-Y1scYAAAAJ,A5010688185,0000-0001-5869-4779,,,,,
10,Maura,,Allaire,Maura Allaire,2015,UNC,,pE7IqHwAAAAJ,A5077677157,0000-0002-3950-0569,,,,,
11,Sharmistha,,Bagchi-Sen,Sharmistha Bagchi-Sen,1989,University of Georgia,,YQmcJlwAAAAJ,A5043611625,0000-0003-0019-8400,,,,,
12,Dylan,,Connor,Dylan Connor,2017,UCLA,,QXQhGBwAAAAJ,A5073838075,0000-0002-8988-170X,,,,,
13,Meagan,,Ehlenz,Meagan Ehlenz,2015,University of Pennsylvania,,BI0L1WIAAAAJ,A5071093581,0000-0002-7357-9485,,,,,
14,Hue-Tam,,Jamme,Hue-Tam Jamme,2020,USC,,Nipmwg8AAAAJ,A5091734719,0000-0002-3065-5388,,,,,
15,David,,King,David King,2008,UCLA,,uFu5Z2YAAAAJ,,,,,,,
16,Kelli,,Larson,Kelli Larson,2005,Oregon State University,Water Resource Governance and Human-Environmental Interactions,zKNhDfAAAAAJ,A5066607478,0000-0001-6558-2687,,https://researchgate.net/profile/Kelli_Larson,https://linkedin.com/in/kelli-larson-3427416,,
17,Sara,,Meerow,Sara Meerow,2017,University of Michigan,,qOlVh-UAAAAJ,A5055512160,0000-0002-6935-1832,,,,,
18,Lindsay,,Oluyede,Lindsay Oluyede,2022,UNC,,45EO_0AAAAAJ,A5013118823,0000-0002-1039-8409,,,,,
19,Deirdre,,Pfeiffer,Deirdre Pfeiffer,2011,UCLA,"Public Participation, Quaolitative Analysis, Urban Housing Analysis",4wtcHfkAAAAJ,A5028325320,0000-0003-2786-2375,,https://researchgate.net/profile/Deirdre_Pfeiffer,https://linkedin.com/in/deirdre-pfeiffer-a29a393,,
20,Jose-Benito,,Rosales Chavez,Jose-Benito Rosales Chavez,2020,Arizona State University,,xYAqTLIAAAAJ,A5091291075,0000-0003-1737-5004,,,,,
