person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
1,google_scholar,2026-03-01,153,6,,,,,"{""workbook_row"": {""Name"": ""Florina Dutt"", ""Year"": 2023, ""Cites2017"": 153, ""%Cites2017"": 0.172, ""%Rank"": 0.335, ""H-Index"": 6, ""%RankH"": 0.173, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&user=TdEfQoUAAAAJ"", ""CurrentSchool"": ""Alabama A&M University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2023, ""PhDSchool"": ""Georgia Tech"", ""Years"": 2, ""First"": ""Florina"", ""Last"": ""Dutt""}}"
2,google_scholar,2026-03-01,4406,20,,,,,"{""workbook_row"": {""Name"": ""Himanshu Grover"", ""Year"": 2010, ""Cites2017"": 4406, ""%Cites2017"": 0.853, ""%Rank"": 0.942, ""H-Index"": 20, ""%RankH"": 0.664, ""GoogleScholar"": ""https://scholar.google.com.ph/citations?user=VTq1CqgAAAAJ&hl=en"", ""CurrentSchool"": ""Alabama A&M University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2010, ""PhDSchool"": ""Texas A&M"", ""Years"": 14, ""CY2017"": 256.14285714285717, ""First"": ""Himanshu"", ""Last"": ""Grover"", ""Interests"": ""Environmental Planning, Comprehensive Plans, Sustainable Development and Climate Change"", ""LinkedIn"": ""https://linkedin.com/in/himanshu-grover-ba508730""}}"
3,google_scholar,2026-03-01,2430,11,,,,,"{""workbook_row"": {""Name"": ""Jacob Oluwoye"", ""Year"": 1988, ""Cites2017"": 2430, ""%Cites2017"": 0.727, ""%Rank"": 0.835, ""H-Index"": 11, ""%RankH"": 0.374, ""GoogleScholar"": ""https://scholar.google.com/citations?user=J16Ac4kAAAAJ&hl=en"", ""CurrentSchool"": ""Alabama A&M University"", ""Position"": ""Professor"", ""PhDYear"": 1988, ""PhDSchool"": ""University of New South Wales"", ""Years"": 37, ""First"": ""Jacob"", ""Last"": ""Oluwoye"", ""Interests"": ""Transportation"", ""ResearchGate"": ""https://researchgate.net/profile/Jacob_Oluwoye"", ""LinkedIn"": ""https://linkedin.com/in/jacob-oluwoye-b3965440""}}"
4,google_scholar,2026-03-01,375,7,,,,,"{""workbook_row"": {""Name"": ""Ahmed Ouf"", ""Year"": 1989, ""Cites2017"": 375, ""%Cites2017"": 0.292, ""%Rank"": 0.557, ""H-Index"": 7, ""%RankH"": 0.218, ""GoogleScholar"": ""https://scholar.google.com/citations?user=OL3It70AAAAJ&hl=en&inst=13410158990364976897"", ""CurrentSchool"": ""Alabama A&M University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 1989, ""PhDSchool"": ""University of Pennsylvania"", ""Years"": 36, ""First"": ""Ahmed"", ""Last"": ""Ouf""}}"
6,google_scholar,2026-03-01,323,5,,,,,"{""workbook_row"": {""Name"": ""Jordan Yin"", ""Year"": 2017, ""Cites2017"": 323, ""%Cites2017"": 0.268, ""%Rank"": 0.521, ""H-Index"": 5, ""%RankH"": 0.129, ""GoogleScholar"": ""https://scholar.google.com/citations?user=2dsmPtcAAAAJ&hl=en"", ""CurrentSchool"": ""Alabama A&M University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2017, ""PhDSchool"": ""Cornell University"", ""Years"": 8, ""First"": ""Jordan"", ""Last"": ""Yin""}}"
9,google_scholar,2026-03-01,726,12,,,,,"{""workbook_row"": {""Name"": ""Bhuwan Thapa"", ""Year"": 2018, ""Cites2017"": 726, ""%Cites2017"": 0.434, ""%Rank"": 0.714, ""H-Index"": 12, ""%RankH"": 0.409, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&user=Z-Y1scYAAAAJ"", ""CurrentSchool"": ""Appalachian State University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2018, ""PhDSchool"": ""University of Arizona"", ""Years"": 7, ""First"": ""Bhuwan"", ""Last"": ""Thapa""}}"
10,google_scholar,2026-03-01,2280,20,,,,,"{""workbook_row"": {""Name"": ""Maura Allaire"", ""Year"": 2015, ""Cites2017"": 2280, ""%Cites2017"": 0.704, ""%Rank"": 0.802, ""H-Index"": 20, ""%RankH"": 0.664, ""GoogleScholar"": ""https://scholar.google.com/citations?user=pE7IqHwAAAAJ&hl=en"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2015, ""PhDSchool"": ""UNC"", ""Years"": 10, ""First"": ""Maura"", ""Last"": ""Allaire""}}"
11,google_scholar,2026-03-01,5026,36,,,,,"{""workbook_row"": {""Name"": ""Sharmistha Bagchi-Sen"", ""Year"": 1989, ""Cites2017"": 5026, ""%Cites2017"": 0.879, ""%Rank"": 0.737, ""H-Index"": 36, ""%RankH"": 0.908, ""GoogleScholar"": ""https://scholar.google.com/citations?user=YQmcJlwAAAAJ&hl=en&oi=ao&inst=13410158990364976897"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Professor"", ""PhDYear"": 1989, ""PhDSchool"": ""University of Georgia"", ""Years"": 36, ""First"": ""Sharmistha"", ""Last"": ""Bagchi-Sen""}}"
12,google_scholar,2026-03-01,1085,19,,,,,"{""workbook_row"": {""Name"": ""Dylan Connor"", ""Year"": 2017, ""Cites2017"": 1085, ""%Cites2017"": 0.52, ""%Rank"": 0.568, ""H-Index"": 19, ""%RankH"": 0.631, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&authuser=1&user=QXQhGBwAAAAJ"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2017, ""PhDSchool"": ""UCLA"", ""Years"": 8, ""First"": ""Dylan"", ""Last"": ""Connor""}}"
13,google_scholar,2026-03-01,967,15,,,,,"{""workbook_row"": {""Name"": ""Meagan Ehlenz"", ""Year"": 2015, ""Cites2017"": 967, ""%Cites2017"": 0.5, ""%Rank"": 0.546, ""H-Index"": 15, ""%RankH"": 0.516, ""GoogleScholar"": ""https://scholar.google.com/citations?user=BI0L1WIAAAAJ&hl=en"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2015, ""PhDSchool"": ""University of Pennsylvania"", ""Years"": 10, ""First"": ""Meagan"", ""Last"": ""Ehlenz""}}"
14,google_scholar,2026-03-01,433,10,,,,,"{""workbook_row"": {""Name"": ""Hue-Tam Jamme"", ""Year"": 2020, ""Cites2017"": 433, ""%Cites2017"": 0.318, ""%Rank"": 0.6, ""H-Index"": 10, ""%RankH"": 0.335, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&authuser=1&user=Nipmwg8AAAAJ"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2020, ""PhDSchool"": ""USC"", ""Years"": 5, ""First"": ""Hue-Tam"", ""Last"": ""Jamme""}}"
15,google_scholar,2026-03-01,2480,24,,,,,"{""workbook_row"": {""Name"": ""David King"", ""Year"": 2008, ""Cites2017"": 2480, ""%Cites2017"": 0.734, ""%Rank"": 0.843, ""H-Index"": 24, ""%RankH"": 0.774, ""GoogleScholar"": ""https://scholar.google.com/citations?user=uFu5Z2YAAAAJ&hl=en"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2008, ""PhDSchool"": ""UCLA"", ""Years"": 17, ""First"": ""David"", ""Last"": ""King""}}"
16,google_scholar,2026-03-01,8551,49,,,,,"{""workbook_row"": {""Name"": ""Kelli Larson"", ""Year"": 2005, ""Cites2017"": 8551, ""%Cites2017"": 0.939, ""%Rank"": 0.858, ""H-Index"": 49, ""%RankH"": 0.964, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&authuser=1&user=zKNhDfAAAAAJ"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Professor"", ""PhDYear"": 2005, ""PhDSchool"": ""Oregon State University"", ""Years"": 20, ""First"": ""Kelli"", ""Last"": ""Larson"", ""Interests"": ""Water Resource Governance and Human-Environmental Interactions"", ""ResearchGate"": ""https://researchgate.net/profile/Kelli_Larson"", ""LinkedIn"": ""https://linkedin.com/in/kelli-larson-3427416""}}"
17,google_scholar,2026-03-01,11243,32,,,,,"{""workbook_row"": {""Name"": ""Sara Meerow"", ""Year"": 2017, ""Cites2017"": 11243, ""%Cites2017"": 0.96, ""%Rank"": 0.994, ""H-Index"": 32, ""%RankH"": 0.874, ""GoogleScholar"": ""https://scholar.google.com/citations?user=qOlVh-UAAAAJ&hl=en&oe=ASCII"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2017, ""PhDSchool"": ""University of Michigan"", ""Years"": 8, ""First"": ""Sara"", ""Last"": ""Meerow""}}"
