person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
5,pop,2026-09-13,401,20,,,,,"{""workbook_row"": {""Name"": ""Joyce Pressley"", ""Year"": 1994, ""Cites2017"": 401, ""%Cites2017"": 0.301, ""%Rank"": 0.571, ""H-Index"": 20, ""%RankH"": 0.664, ""CurrentSchool"": ""Alabama A&M University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 1994, ""PhDSchool"": ""University of Pennsylvania"", ""Years"": 31, ""CY2017"": 12.935483870967742, ""First"": ""Joyce"", ""Last"": ""Pressley""}}"
7,pop,2026-09-13,1,1,,,,,"{""workbook_row"": {""Name"": ""Chris Quattro"", ""Year"": 2023, ""Cites2017"": 1, ""%Cites2017"": 0, ""%Rank"": 0, ""H-Index"": 1, ""%RankH"": 0, ""CurrentSchool"": ""Appalachian State University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2023, ""PhDSchool"": ""University of Pennsylvania"", ""Years"": 2, ""CY2017"": 0.5, ""First"": ""Chris"", ""Last"": ""Quattro""}}"
8,pop,2026-09-13,774,12,,,,,"{""workbook_row"": {""Name"": ""Elizabeth Shay"", ""Year"": 2007, ""Cites2017"": 774, ""%Cites2017"": 0.457, ""%Rank"": 0.478, ""H-Index"": 12, ""%RankH"": 0.409, ""CurrentSchool"": ""Appalachian State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2007, ""PhDSchool"": ""UNC"", ""Years"": 18, ""CY2017"": 43, ""First"": ""Elizabeth"", ""Last"": ""Shay""}}"
31,pop,2026-09-13,909,15,,,,,"{""workbook_row"": {""Name"": ""Michael Burayidi"", ""Year"": 1993, ""Cites2017"": 909, ""%Cites2017"": 0.485, ""%Rank"": 0.264, ""H-Index"": 15, ""%RankH"": 0.516, ""CurrentSchool"": ""Ball State University"", ""Position"": ""Professor"", ""PhDYear"": 1993, ""PhDSchool"": ""University of Louisville"", ""Years"": 32, ""First"": ""Michael"", ""Middle"": ""A."", ""Last"": ""Burayidi"", ""Interests"": ""Land Use Planning, Economic Development, Comparative Planning Systems, Housing and Real Estate Development."", ""LinkedIn"": ""https://linkedin.com/in/michael-burayidi-a382b210""}}"
33,pop,2026-09-13,8,1,,,,,"{""workbook_row"": {""Name"": ""Scott Truex"", ""Year"": 1982, ""Cites2017"": 8, ""%Cites2017"": 0.02, ""%Rank"": 0.024, ""H-Index"": 1, ""%RankH"": 0, ""CurrentSchool"": ""Ball State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 1982, ""PhDSchool"": ""Ball State University"", ""Years"": 43, ""CY2017"": 0.18604651162790697, ""First"": ""Scott"", ""Middle"": ""I."", ""Last"": ""Truex"", ""Interests"": ""Urban Design, Community Design & Sustainable Development Practices"", ""LinkedIn"": ""https://linkedin.com/in/scott-truex-0298a72""}}"
34,pop,2026-09-13,80,3,,,,,"{""workbook_row"": {""Name"": ""John West"", ""Year"": 2015, ""Cites2017"": 80, ""%Cites2017"": 0.1, ""%Rank"": 0.2, ""H-Index"": 3, ""%RankH"": 0.051, ""CurrentSchool"": ""Ball State University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2015, ""PhDSchool"": ""Columbia University"", ""Years"": 10, ""CY2017"": 8, ""First"": ""John"", ""Last"": ""West""}}"
35,pop,2026-09-13,321,7,,,,,"{""workbook_row"": {""Name"": ""Sanglim Yoo"", ""Year"": 2012, ""Cites2017"": 321, ""%Cites2017"": 0.266, ""%Rank"": 0.233, ""H-Index"": 7, ""%RankH"": 0.218, ""CurrentSchool"": ""Ball State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2012, ""PhDSchool"": ""SUNY College of Environmental Science and Forestry"", ""Years"": 13, ""CY2017"": 24.692307692307693, ""First"": ""Sanglim"", ""Last"": ""Yoo"", ""ResearchGate"": ""https://researchgate.net/profile/Sanglim_Yoo"", ""LinkedIn"": ""https://linkedin.com/in/sanglim-yoo-19946626""}}"
36,pop,2026-09-13,1,1,,,,,"{""workbook_row"": {""Name"": ""Dina Adbulkarim"", ""Year"": 2012, ""Cites2017"": 1, ""%Cites2017"": 0, ""%Rank"": 0, ""H-Index"": 1, ""%RankH"": 0, ""CurrentSchool"": ""Cal Poly, Pomona"", ""Position"": ""Associate Professor"", ""PhDYear"": 2012, ""PhDSchool"": ""Ohio State University"", ""Years"": 13, ""CY2017"": 0.07692307692307693, ""First"": ""Dina"", ""Last"": ""Adbulkarim""}}"
37,pop,2026-09-13,95,3,,,,,"{""workbook_row"": {""Name"": ""So-Ra Baek"", ""Year"": 2013, ""Cites2017"": 95, ""%Cites2017"": 0.113, ""%Rank"": 0.109, ""H-Index"": 3, ""%RankH"": 0.051, ""CurrentSchool"": ""Cal Poly, Pomona"", ""Position"": ""Associate Professor"", ""PhDYear"": 2013, ""PhDSchool"": ""University of Washington"", ""Years"": 12, ""CY2017"": 7.916666666666667, ""First"": ""So-Ra"", ""Last"": ""Baek"", ""Interests"": ""Demography and statistics for planning, GIS for planning, research approaches to planning, and local transportation planning""}}"
47,pop,2026-09-13,535,8,,,,,"{""workbook_row"": {""Name"": ""Kelly Main"", ""Year"": 2007, ""Cites2017"": 535, ""%Cites2017"": 0.364, ""%Rank"": 0.351, ""H-Index"": 8, ""%RankH"": 0.261, ""CurrentSchool"": ""Cal Poly, San Luis Obispo"", ""Position"": ""Associate Professor"", ""PhDYear"": 2007, ""PhDSchool"": ""UCLA"", ""Years"": 18, ""CY2017"": 29.72222222222222, ""First"": ""Kelly"", ""Last"": ""Main"", ""Interests"": ""Community Planning, Land Use Planning, Public Realm, Cultural Aspects of Planning, Place Attachment"", ""LinkedIn"": ""https://linkedin.com/in/kelly-main-a545a341""}}"
